"","hierarchy_level1","hierarchy_level2","week","y1","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
"3400","B2","1","2013-05-12",7.34652399646583,4.12987491311522,7.36584648511636,0,0,0,0,3.82591419997607,3.20341008775384,0,0,0.113291260469556,0.0626333014187782,0
"3401","B2","1","2012-10-21",7.37700454843993,3.72440980500706,7.11215132134599,0,0,0,0,3.84867941074908,3.26965408458853,0.285877516339224,0,0.113291260469556,0.0626333014187782,0
"3402","B2","1","2012-10-07",7.26541348303147,3.75038529141032,7.22368088803053,0,0,0,0,3.85156912218361,3.27804209819023,0.285877516339224,0,0.113291260469556,0.0626333014187782,0
"3403","B2","1","2013-08-25",7.42352456407482,3.82449326356404,7.61502461692149,0,0,0,0,3.83116355586222,3.21884340810243,0,0,0.113291260469556,0.0626333014187782,0
"3404","B2","1","2012-07-08",8.24102079206204,4.72155263351031,8.50030039706247,1,0,0,0,3.87533073435076,3.36396577037159,0.455877516339224,0,0.253291260469556,0.0626333014187782,0
"3405","B2","1","2013-03-03",7.12524636599154,3.9786439433913,7.03677318517037,0,0,0,0,3.82195902013314,3.19248343407395,0,0,0.113291260469556,0.0626333014187782,0
"3406","B2","1","2013-06-02",7.48855703434568,4.12987491311522,7.9252793406448,0,0,0,0,3.8242681090694,3.19919358299208,0,0,0.113291260469556,0.0626333014187782,0
"3407","B2","1","2012-08-26",8.24232883672206,4.32093014987793,7.94985592997684,0,0,0,0,3.86050630264021,3.58628314654632,0.455877516339224,0,0.333291260469556,0.0626333014187782,0
"3408","B3","1","2012-01-22",7.24789990053876,4.21395803032576,7.88343535804014,0,0,0,0,4.55761765234926,3.05994992839262,0.455877516339224,0,0.213291260469556,0.0626333014187782,0
"3409","B3","1","2012-12-09",7.47644696552916,4.018649278005,8.18372363506219,0,0,0,0,4.39488459307871,4.12487783398873,0.285877516339224,0,0.113291260469556,0.0626333014187782,0
"3410","B3","1","2013-08-04",7.06910568426277,3.89348613505099,6.84083622635841,1,0,0,0,4.42406365191374,4.18466672472867,0,0,0.113291260469556,0.0626333014187782,0
"3411","B3","1","2013-10-13",7.330385937784,4.0380673638621,7.08539387217644,0,0,0,0,4.44854008596627,4.23341340355243,0,0,0.113291260469556,0.0626333014187782,0
"3412","B3","1","2012-09-16",7.80970074691142,3.93697124699073,8.44048613242635,0,0,0,0,4.43521484660245,4.34810442791425,0.455877516339224,0,0.273291260469556,0.0626333014187782,0
"3413","B3","1","2012-03-25",7.77206373538698,3.61318416989683,7.69598813497316,0,0,0,0,4.52529193028665,2.53304858378785,0.205877516339224,0,0.343291260469556,0.0626333014187782,0
"3414","B3","1","2013-09-01",7.13715914750779,4.29151626467164,7.12282027769556,0,0,0,0,4.43396205001801,4.20445144652329,0,0,0.113291260469556,0.0626333014187782,0
"3415","B3","1","2012-09-09",7.76225286482272,3.95802465618856,8.58361611954035,0,0,0,0,4.43807250169948,4.41862431282335,0.455877516339224,0,0.223291260469556,0.0626333014187782,0
"3416","B3","1","2013-01-27",6.81557552338032,3.87101327919893,7.26842139440741,0,0,0,0,4.38364851981179,4.10118603806541,0,0,0.113291260469556,0.0626333014187782,0
"3417","B3","1","2012-04-29",8.28497922407243,3.64217170677008,7.62544913425737,0,0,0,0,4.50681565411908,2.29420736991561,0.205877516339224,0,0.563291260469556,0.0626333014187782,0
"3418","B3","1","2013-05-19",7.1158817490605,3.95802465618856,7.88686327988854,0,0,0,0,4.40304487575005,4.14166534949787,0,0,0.113291260469556,0.0626333014187782,0
"3419","B3","1","2013-02-17",7.3260381048479,4.11217533601582,7.83216214417548,0,0,0,0,4.38477782540894,4.10371503006958,0,0,0.113291260469556,0.0626333014187782,0
"3420","B3","1","2013-08-18",7.22406086936271,3.9786439433913,6.86330908221047,1,0,0,0,4.42893510945004,4.19460801423003,0,0,0.113291260469556,0.0626333014187782,0
"3421","B3","1","2013-07-07",6.79725999307389,3.30569947014887,7.04209706642312,1,0,0,0,4.41406629517643,4.16448265340901,0,0,0.113291260469556,0.0626333014187782,0
"3422","B3","1","2012-11-25",7.65218645812748,3.9786439433913,8.42173213545303,0,0,0,0,4.40138113564911,4.13819189662289,0.285877516339224,0,0.113291260469556,0.0626333014187782,0
"3423","B3","1","2012-09-23",7.97634145896497,4.50566425307727,8.44745631965265,0,0,0,0,4.4321696136177,4.2204925167937,0.455877516339224,0,0.183291260469556,0.0626333014187782,0
"3424","B3","1","2012-08-19",7.90629223504565,4.07580769184494,8.72931508793986,1,0,0,0,4.44641994382934,4.25335634497304,0.455877516339224,0,0.273291260469556,0.0626333014187782,0
"3425","B3","1","2012-02-26",7.96720375974743,3.95802465618856,8.17235664708442,0,0,0,0,4.53973437198946,2.69023231928161,0.205877516339224,0,0.493291260469556,0.0626333014187782,0
"3426","B3","1","2011-11-27",8.04499316936372,4.46885027995455,8.33305912360014,0,0,0,0,4.58539721645634,4.02491281680535,0,0,0.403291260469556,0.0626333014187782,0
"3427","B3","1","2012-02-12",8.22828735986095,3.9786439433913,8.23279632501398,0,0,0,0,4.54695809711717,2.76043584187471,0.205877516339224,0,0.633291260469556,0.0626333014187782,0
"3428","B3","1","2011-11-13",7.7530557713418,4.417556985567,8.32769063828101,0,0,0,0,4.59229961367413,4.04387654762107,0,0,0.353291260469556,0.0626333014187782,0
"3429","B3","1","2011-12-04",8.25014137645885,4.85750826974634,8.26457024496368,0,0,0,0,4.58200529214354,4.0152943652518,0,0,0.393291260469556,0.0626333014187782,0
"3430","B3","1","2011-11-20",8.00657892498226,4.417556985567,8.21378434552541,0,1,0,0,4.58877767450034,4.03443963442544,0,0,0.403291260469556,0.0626333014187782,0
"3431","B3","1","2012-03-18",7.57711043168712,4.0380673638621,7.68674165208109,0,0,0,0,4.52888142671699,2.57472076160928,0,0,0.333291260469556,0.0626333014187782,0
"3432","B3","1","2013-02-03",7.06203851703968,3.84802376097423,7.48576126321294,0,0,0,0,4.3838368259982,4.1015782866804,0,0,0.113291260469556,0.0626333014187782,0
"3433","B3","1","2012-08-12",7.90017600802822,4.07580769184494,8.72373215061431,1,0,0,0,4.4492458022976,4.26404281829467,0.455877516339224,0,0.353291260469556,0.0626333014187782,0
"3434","B3","1","2013-05-05",7.34972058949146,3.80039571198498,7.73258584931645,0,0,0,0,4.40082593992836,4.13727412187408,0,0,0.113291260469556,0.0626333014187782,0
"3435","B3","1","2013-09-29",7.17079750665662,4.09415683051314,7.61452549038255,0,0,0,0,4.44358607724986,4.22385231524961,0,0,0.113291260469556,0.0626333014187782,0
"3436","B3","1","2012-01-08",7.47457079237094,4.52947490177099,7.71422849476778,0,0,0,0,4.5645566488086,4.51554744414656,0.455877516339224,0,0.523291260469556,0.0626333014187782,0
"3437","B3","1","2012-11-11",7.41857160694597,3.9786439433913,8.38406033347583,0,0,0,0,4.408203324919,4.1521924654832,0.285877516339224,0,0.113291260469556,0.0626333014187782,0
"3438","B3","1","2012-05-06",7.91358266830833,3.61318416989683,7.67553181961021,0,0,0,0,4.50314592523012,2.23887795401603,0,0,0.533291260469556,0.0626333014187782,0
"3439","B3","1","2013-05-26",7.056348601262,3.67034258373678,7.52474169939124,0,0,0,0,4.4041525000095,4.14414006884385,0,0,0.113291260469556,0.0626333014187782,0
"3440","B3","1","2012-06-24",7.23485881470949,4.29151626467164,8.23064173220632,0,0,0,0,4.47604399545233,4.02422200967441,0.455877516339224,0,0.163291260469556,0.0626333014187782,0
"3441","B3","1","2013-04-14",7.13452409986978,3.80039571198498,7.8147422181594,0,0,0,0,4.39469835599837,4.12434187799237,0,0,0.113291260469556,0.0626333014187782,0
"3442","B3","1","2013-07-14",6.84066644537385,3.82449326356404,6.23668258399209,1,0,0,0,4.41662057498153,4.16956699300067,0,0,0.113291260469556,0.0626333014187782,0
"3443","B3","1","2013-07-28",6.99910627016442,3.80039571198498,6.88735624199331,1,0,0,0,4.42152833726341,4.17965877170065,0,0,0.113291260469556,0.0626333014187782,0
"3444","B3","1","2012-07-22",7.895872281742,3.77570309939461,8.5402572861713,1,0,0,0,4.45942311421629,4.28086071024817,0.455877516339224,0,0.363291260469556,0.0626333014187782,0
"3445","B3","1","2013-01-20",6.9574657131201,3.80039571198498,7.55115121054073,0,0,0,0,4.3838368259982,4.10163601587277,0,0,0.113291260469556,0.0626333014187782,0
"3446","B3","1","2012-04-22",8.18954377546196,3.5525595480804,7.0760281161888,0,0,0,0,4.51047196532219,2.34646523439585,0.205877516339224,0,0.583291260469556,0.0626333014187782,0
"3447","B3","1","2013-04-07",6.99608054924788,3.75038529141032,7.75452617653251,0,0,0,0,4.39302065964065,4.12076278029068,0,0,0.113291260469556,0.0626333014187782,0
"3448","B3","1","2011-10-30",8.34925675081989,4.48127279995311,8.16316910040175,0,0,0,0,4.59900286851211,3.78049093861081,0,0,0.383291260469556,0.0626333014187782,0
"3449","B3","1","2012-05-27",7.58218229378508,3.75038529141032,7.75148335740583,0,0,0,0,4.4918862482525,2.04995634515128,0.205877516339224,0,0.493291260469556,0.0626333014187782,0
"3450","B3","1","2013-02-24",7.08309192623751,4.0380673638621,7.40292267645241,0,0,0,0,4.38552998791149,4.10536145096548,0,0,0.113291260469556,0.0626333014187782,0
"3451","B3","1","2012-01-15",7.34865619343567,4.46885027995455,7.8610578810808,0,0,0,0,4.56109316927584,4.68727713956526,0.455877516339224,0,0.313291260469556,0.0626333014187782,0
"3452","B3","1","2012-05-13",7.80093171938783,3.77570309939461,7.38925786755068,0,0,0,0,4.49929493679573,2.17962327766849,0.205877516339224,0,0.503291260469556,0.0626333014187782,0
"3453","B3","1","2012-02-19",8.29329528031408,3.93697124699073,8.40171122152782,0,0,0,0,4.54327249082995,2.72595002092999,0.205877516339224,0,0.513291260469556,0.0626333014187782,0
"3454","B3","1","2013-01-06",6.81557552338032,4.34950352232199,7.50321174825161,0,0,0,0,4.38571794017217,4.10568267813534,0,0,0.113291260469556,0.0626333014187782,0
"3455","B3","1","2013-07-21",7.07472367656699,3.30569947014887,6.92087893403195,1,0,0,0,4.41916834706032,4.1746256127963,0,0,0.113291260469556,0.0626333014187782,0
"3456","B3","1","2011-11-06",7.95740258587078,4.34950352232199,8.1825927330474,0,0,0,0,4.59565685778579,4.0532252373942,0,0,0.333291260469556,0.0626333014187782,0
"3457","B3","1","2012-01-01",8.02461712929021,4.81421146399301,8.07266420125537,0,0,0,0,4.56816477885053,4.43900747498591,0.205877516339224,0,0.463291260469556,0.0626333014187782,0
"3458","B3","1","2013-09-08",7.21314505448571,4.12987491311522,7.53722490084253,0,0,0,0,4.43628742446716,4.20933706457334,0,0,0.113291260469556,0.0626333014187782,0
"3459","B3","1","2012-12-16",7.46323922636139,3.99884665070882,7.98871956403331,0,0,0,0,4.39208738845765,4.11889504854268,0.285877516339224,0,0.113291260469556,0.0626333014187782,1
"3460","B3","1","2012-11-04",7.89648823494903,4.0380673638621,8.73779386040377,0,0,0,0,4.41168860772796,4.15940508228833,0.285877516339224,0,0.113291260469556,0.0626333014187782,0
"3461","B3","1","2013-01-13",6.85821075502476,3.80039571198498,7.02513994435636,0,0,0,0,4.38458969635185,4.10316164504305,0,0,0.113291260469556,0.0626333014187782,0
