"","hierarchy_level1","hierarchy_level2","week","y1","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
"19","B1","2","2012-01-01",7.16952443200982,3.34492018330215,6.8483834319938,0,0,0,0,4.30308778721438,4.16745236161737,0.255877516339224,0.742751247135877,0.133291260469556,1,0
"20","A4","2","2013-08-11",9.9339589800415,4.417556985567,8.99393147809426,1,0,0,0,3.52454235753512,3.60701029247461,0.895877516339224,0.482751247135877,0.623291260469556,0.0626333014187782,0
"21","B1","2","2013-09-29",7.07332213464171,2.97719540317683,6.695485100483,0,0,0,0,3.99526826922468,4.53756155499286,0.925877516339224,0.212751247135877,0.203291260469556,0.0626333014187782,0
"22","A4","2","2013-08-18",9.80210038424148,4.29151626467164,9.16260835953955,1,0,0,0,3.49016538583223,3.63631048783967,0.925877516339224,0.462751247135877,0.603291260469556,0.0626333014187782,0
"23","B1","2","2012-01-08",6.71243074032404,3.26487747562862,6.03071736921296,0,0,0,0,4.31868303999482,4.45728353493691,0.625877516339224,0.812751247135877,0.143291260469556,1,0
"24","A4","2","2011-12-18",9.65856266244058,4.32093014987793,8.86507504181631,0,0,0,0,3.64346105557748,3.69439094435672,0.335877516339224,0,0.613291260469556,0.0626333014187782,1
"25","B1","2","2013-06-23",6.25004390476756,0.0868236452806741,6.34412686385354,0,0,0,0,4.31908488850334,4.40091451483233,0.955877516339224,0,1,0.0626333014187782,0
"26","A4","2","2013-01-13",8.89183596717197,3.58333120674715,7.70149526224642,0,0,0,0,3.70915859685639,3.59807234588145,0.855877516339224,0,0.853291260469556,0.942633301418778,0
"27","B1","2","2013-08-11",6.19420016855147,2.16626518696051,6.34184506023943,1,0,0,0,4.14412866802372,4.42786469646178,0.895877516339224,0,0.113291260469556,0.0626333014187782,0
"28","A4","2","2012-01-01",9.72185159250781,4.48127279995311,9.11677062213385,0,0,0,0,3.66262097698239,3.0270484447764,0.255877516339224,0.452751247135877,0.483291260469556,0.392633301418778,0
"29","B1","2","2013-03-10",7.09276719176093,2.28404822261689,6.29064557888257,0,0,0,0,4.00053071039562,4.26811748726116,0.925877516339224,0,0.873291260469556,0.582633301418778,0
"30","A4","2","2012-01-15",9.48728048601167,4.2764783873071,8.46061014812318,0,0,0,0,3.68937075688156,3.59934363117558,0.845877516339224,0.652751247135877,0.723291260469556,0.852633301418778,0
"31","B1","2","2013-10-20",7.37285516489312,3.52081084976582,6.67780787249914,0,0,0,0,3.98241174781315,3.82959852043622,0.955877516339224,0.142751247135877,0.353291260469556,0.0626333014187782,0
